6th Gen FX-8800P APU,15W
6th Gen AMD PRO A12-8830B APU,15W
6th Gen AMD PRO A10-8730B APU,15W
6th Gen AMD PRO A6-8530B APU,15W
A4 PRO-3350B,15W
7th Gen AMD PRO A6-8350B APU,15W
7th Gen AMD PRO A4-5350B APU,15W
7th Gen AMD PRO A6-7350B APU,15W
7th Gen AMD PRO A4-4350B APU,15W
7th Gen AMD PRO A12-9830B APU,35W
7th Gen AMD PRO A12-9800B APU,15W
7th Gen AMD PRO A10-9730B APU,35W
7th Gen AMD PRO A10-9700B APU,15W
7th Gen AMD PRO A8-9630B,35W
7th Gen AMD PRO A8-9600B APU,15W
7th Gen AMD PRO A6-9500B APU,15W
7th Gen AMD PRO A12-9800E APU,35W
7th Gen AMD PRO A12-9800 APU,65W
7th Gen AMD PRO A10-9700E APU,35W
7th Gen AMD PRO A10-9700 APU,65W
7th Gen AMD PRO A8-9600 APU,65W
7th Gen AMD PRO A6-9500E APU,35W
7th Gen AMD PRO A6-9500 APU,65W
6th Gen AMD PRO A12-8870 APU,65W
6th Gen AMD PRO A10-8770E APU,35W
6th Gen AMD PRO A10-8770 APU,65W
A10 PRO-7850B,95W
A10 PRO-7800B,65W
A10 PRO-7350B,19W
A8 PRO-7600B,65W
A8 PRO-7150B,100W
A4 PRO-3340B,25W
6th Gen AMD PRO A12-8870E APU,35W
6th Gen AMD PRO A12-8800B APU,15W
6th Gen AMD PRO A10-8850B APU,95W
6th Gen AMD PRO A10-8750B APU,65W
6th Gen AMD PRO A10-8700B APU,15W
6th Gen AMD PRO A8-8650B APU,65W
6th Gen AMD PRO A8-8600B APU,15W
A6 PRO-7400B,65W
A6 PRO-7050B,100W
A4 PRO-7350B,65W
A4 PRO-7300B,65W
6th Gen AMD PRO A6-8570E APU,35W
6th Gen AMD PRO A6-8570 APU,65W
6th Gen AMD PRO A6-8550B APU,65W
6th Gen AMD PRO A6-8500B APU,15W
6th Gen AMD PRO A4-8350B APU,65W
AMD Ryzen 7 PRO 2700U,15W
AMD Ryzen 5 PRO 2500U,15W
AMD Ryzen 3 PRO 2300U,15W
AMD Ryzen 9 PRO 3900,65W
AMD Ryzen 7 PRO 3700,65W
AMD Ryzen 5 PRO 3600,65W
AMD Ryzen 5 PRO 3400GE,35W
AMD Ryzen 5 PRO 3400G,65W
AMD Ryzen 3 PRO 3200GE,35W
AMD Ryzen 3 PRO 3200G,65W
AMD Ryzen 7 PRO 4750GE,35W
AMD Ryzen 7 PRO 4750G,65W
AMD Ryzen 5 PRO 4650GE,35W
AMD Ryzen 5 PRO 4650G,65W
AMD Ryzen 5 PRO 3350GE,35W
AMD Ryzen 5 PRO 3350G,65W
AMD Ryzen 3 PRO 4350GE,35W
AMD Ryzen 3 PRO 4350G,65W
AMD Ryzen Threadripper PRO 3995WX,280W
AMD Ryzen Threadripper PRO 3975WX,280W
AMD Ryzen Threadripper PRO 3955WX,280W
AMD Ryzen Threadripper PRO 3945WX,280W
AMD Ryzen 7 PRO 5750GE,35W
AMD Ryzen 7 PRO 5750G,65W
AMD Ryzen 5 PRO 5650GE,35W
AMD Ryzen 5 PRO 5650G,65W
AMD Ryzen 3 PRO 5350GE,35W
AMD Ryzen 3 PRO 5350G,65W
AMD Ryzen 5 PRO 2400GE,35W
AMD Ryzen 5 PRO 2400G,65W
AMD Ryzen 3 PRO 2200GE,35W
AMD Ryzen 3 PRO 2200G,65W
AMD Ryzen 7 PRO 4750U,15W
